,11-2007~05-2008,05-2008~03-2009,03-2009~10-2009
Cumulative_Return,1.230294105,0.715695382,1.840477713
Mean_Geometric_Return,0.002054119,-0.003306409,0.00605813
Min_Return,-0.016996906,-0.034333209,-0.013139849
10_days_MaxDrawdown,0.040527953,0.112907921,0.014551899
Volatility,0.008239357,0.009539715,0.009206308
Sharpe_Ratio,0.250105917,-0.34304654,0.662384823
skewness,-0.189529209,-0.064630282,0.914463718
kurtosis,-0.559236369,0.541876841,1.893344799
VaR,-0.011926272,-0.018944588,-0.006093125
CVaR,-0.01471438,-0.023956799,-0.008560256
